Word,Category
Find Some Girls,Recruitment
Find Girls,Recruitment
Bring Girls,Recruitment
Russian Intelligence Asset,Russian Intelligence Asset
Spy,Spy
Mossad Spy,Spy
Image Rehabilitation,Image Rehabilitation
Reputation Management,Reputation Management
Search Engine Optimization,Search Engine Optimization
SEO,Search Engine Optimization
Wikipedia Editing,Wikipedia Editing
Media Strategy,Media Strategy
Fake Images,Fake Images
Fake Documents,Fake Documents
Fake Videos,Fake Videos
AI-Generated Photos,AI-Generated Photos
Uncorroborated,Uncorroborated
Unverified,Unverified
False Claims,False Claims
Fantastical Scenarios,Fantastical Scenarios
Freddy Fazbear,Freddy Fazbear
Five Nights at Freddy's,Freddy Fazbear
FNAF,Freddy Fazbear
